Brand,Revenue,Quantity,Transactions,Revenue %,Cumulative %,Category
4261,444810.74,20226,1969,1.3422423811779705,1.3422423811779705,A
3545,357759.17,11883,1749,1.0795591856191566,2.421801566797127,A
1233,344712.22000000003,9578,1803,1.0401892521613676,3.4619908189584945,A
8068,288135.11,11189,1870,0.8694645191062078,4.3314553380647025,A
3405,275162.97,9203,1750,0.8303203291916972,5.1617756672564,A
3858,225014.22,9378,1762,0.6789935477990117,5.840769215055412,A
2589,191669.51,4649,1407,0.5783739383217565,6.419143153377168,A
4227,183659.91,10209,1699,0.554204502628088,6.973347656005256,A
1376,169922.38,7362,1841,0.5127507036962011,7.486098359701457,A
2585,164426.6,6940,1735,0.49616686663860166,7.982265226340059,A
8680,162059.53,4047,1538,0.48902409469650565,8.471289321036565,A
2757,155678.09,5191,1470,0.46976772687376755,8.941057047910332,A
5364,149137.09,4691,1604,0.4500298774340595,9.391086925344393,A
3876,144969.26,7674,1858,0.43745320704263646,9.82854013238703,A
3802,142887.85,7915,1812,0.431172430830696,10.259712563217725,A
3650,140806.71,2829,1150,0.4248924693595212,10.684605032577247,A
2120,138316.68,8732,1859,0.41737865843758937,11.101983691014837,A
3489,137024.81,4119,1493,0.4134803652781832,11.51546405629302,A
8512,128932.11,6489,1724,0.3890601704821697,11.90452422677519,A
3512,126296.28,7472,1779,0.3811063995467369,12.285630626321925,A
3102,119759.43,6657,1408,0.3613810729743542,12.647011699296279,A
5138,117783.82,8418,1795,0.3554195544402491,13.002431253736528,A
8082,112831.01,3099,1311,0.34047416106255757,13.342905414799086,A
2663,112120.16,2984,1230,0.3383291296798613,13.681234544478947,A
1232,111201.94,4806,1608,0.33555834721349087,14.016792891692438,A
8159,110831.36,4264,1460,0.33444010042471745,14.351232992117156,A
6570,109159.42,8274,1335,0.3293949238474012,14.680627915964557,A
11219,108554.52,7248,1433,0.32756960277629904,15.008197518740856,A
8112,96957.70999999999,3629,1317,0.2925755514445607,15.300773070185416,A
3180,95934.6,6340,1582,0.2894882572784914,15.590261327463908,A
6650,93369.42,8458,1213,0.2817476768434279,15.872009004307337,A
2114,91191.42,6858,1780,0.27517543466643907,16.147184438973778,A
1476,88839.84999999999,4015,1278,0.2680794348794135,16.415263873853192,A
6579,86846.81,7919,1338,0.26206532030254215,16.677329194155735,A
1385,84609.78,3122,1344,0.25531495165369483,16.93264414580943,A
4262,83571.97,5503,1587,0.2521832993792684,17.1848274451887,A
3893,82317.6,8240,1750,0.24839816465954873,17.433225609848247,A
3423,82265.51999999999,3048,1237,0.24824101021851214,17.681466620066757,A
3857,82120.35,1465,752,0.24780295126679802,17.929269571333556,A
3348,79231.88,2212,1071,0.2390868243793017,18.16835639571286,A
3826,78986.29,3371,1404,0.23834574221389915,18.406702137926757,A
3913,78859.65,4335,1486,0.23796359861918207,18.64466573654594,A
2127,78664.51,7499,1683,0.2373747522746377,18.882040488820575,A
1737,78147.52,1648,845,0.2358147047617445,19.11785519358232,A
5365,77932.81,3919,1620,0.23516680479947574,19.353021998381795,A
14006,75034.89,7511,1533,0.22642216198517842,19.57944416036697,A
2432,74896.06,2994,1400,0.22600323435366726,19.805447394720638,A
3505,72263.84999999999,3415,1310,0.21806038697961225,20.02350778170025,A
5103,71659.23999999999,2576,1102,0.21623594100044363,20.239743722700695,A
19748,71085.08,4692,1217,0.21450337967430042,20.454247102374996,A
3522,70092.06,5394,1631,0.21150688384023547,20.665753986215233,A
2753,69525.81,1019,531,0.20979819140097014,20.875552177616203,A
42188,69002.22,1278,135,0.2082182280026921,21.083770405618896,A
8178,65113.119999999995,2488,1047,0.19648264166177046,21.280253047280667,A
4243,65015.61,2839,1043,0.19618839954300177,21.476441446823667,A
38546,64836.89,6511,1407,0.19564910150724812,21.672090548330914,A
5734,64166.82,2918,1131,0.19362712615576286,21.865717674486678,A
2443,63992.5,3050,1243,0.19310110537693242,22.05881877986361,A
5445,63904.38,3962,1548,0.19283519813146122,22.251653977995073,A
126,63796.32,1968,722,0.19250912077166074,22.444163098766733,A
8000,62074.869999999995,913,556,0.18731454487837448,22.63147764364511,A
5342,61546.64,2136,1083,0.18572058000915925,22.81719822365427,A
3625,60626.299999999996,3370,1364,0.18294340031899858,23.000141623973267,A
1346,60007.06,1994,1055,0.1810748074605603,23.18121643143383,A
