Brand,EndingStock,AvgPrice,InventoryValue,TotalSold,StockToSales,MovementClass
58,385,12.99,5001.15,288.0,1.3368055555555556,Normal
60,146,10.99,1604.54,124.0,1.1774193548387097,Normal
61,12,13.99,167.88,24.0,0.5,Fast Moving
62,459,36.99,16978.41,162.0,2.8333333333333335,Slow Moving
63,442,38.99,17233.58,131.0,3.3740458015267176,Slow Moving
72,139,34.99,4863.610000000001,19.0,7.315789473684211,Slow Moving
75,7,14.99,104.93,3.0,2.3333333333333335,Slow Moving
77,1764,14.99,26442.36,908.0,1.9427312775330396,Normal
79,995,14.99,14915.050000000001,416.0,2.391826923076923,Slow Moving
86,18,299.99,5399.82,1.0,18.0,Slow Moving
97,12,14.49,173.88,0.0,inf,Dead Stock
100,59,169.99,10029.41,7.0,8.428571428571429,Slow Moving
104,53,8.79,465.86999999999995,19.0,2.789473684210526,Slow Moving
105,9,4.49,40.410000000000004,1.0,9.0,Slow Moving
106,128,4.49,574.72,141.0,0.9078014184397163,Normal
107,7,5.79,40.53,0.0,inf,Dead Stock
108,33,6.49,214.17000000000002,13.0,2.5384615384615383,Slow Moving
109,50,5.79,289.5,29.0,1.7241379310344827,Normal
110,4,6.49,25.96,0.0,inf,Dead Stock
111,52,6.489999999999999,337.47999999999996,13.0,4.0,Slow Moving
112,66,6.49,428.34000000000003,23.0,2.869565217391304,Slow Moving
113,37,6.489999999999999,240.12999999999997,16.0,2.3125,Slow Moving
114,83,6.49,538.6700000000001,24.0,3.4583333333333335,Slow Moving
115,1526,27.99,42712.74,623.0,2.449438202247191,Slow Moving
120,56,13.99,783.44,30.0,1.8666666666666667,Normal
123,3,59.99,179.97,2.0,1.5,Normal
126,4464,29.99,133875.36,1968.0,2.268292682926829,Slow Moving
128,5,32.99,164.95000000000002,0.0,inf,Dead Stock
129,5,29.99,149.95,1.0,5.0,Slow Moving
131,16,15.99,255.84,0.0,inf,Dead Stock
143,9,36.99,332.91,1.0,9.0,Slow Moving
148,8,14.49,115.92,1.0,8.0,Slow Moving
150,9,14.49,130.41,1.0,9.0,Slow Moving
