Brand,AnnualDemand,AvgPurchasePrice,HoldingCost,OrderingCost,EOQ,OrdersPerYear,TotalOrderingCost,TotalHoldingCost,TotalInventoryCost
8111,28544,0.77,0.15400000000000003,150,7457,4,600,574.1890000000001,1174.189
1892,23121,0.72,0.144,150,6940,4,600,499.67999999999995,1099.6799999999998
4261,20226,16.17,3.2340000000000004,150,1370,15,2250,2215.2900000000004,4465.290000000001
3606,19200,0.74,0.148,150,6239,4,600,461.686,1061.686
5111,18411,0.72,0.144,150,6193,3,450,445.89599999999996,895.896
3837,14057,0.72,0.144,150,5412,3,450,389.664,839.664
4135,12477,0.78,0.15600000000000003,150,4898,3,450,382.04400000000004,832.0440000000001
4157,12102,0.72,0.144,150,5021,3,450,361.512,811.512
3545,11883,21.89,4.378,150,902,14,2100,1974.478,4074.478
8068,11189,18.24,3.6479999999999997,150,959,12,1800,1749.216,3549.216
5491,11027,1.46,0.292,150,3366,4,600,491.436,1091.436
3609,10355,0.74,0.148,150,4581,3,450,338.99399999999997,788.9939999999999
4227,10209,14.17,2.834,150,1040,10,1500,1473.68,2973.6800000000003
1233,9578,26.27,5.2540000000000004,150,740,13,1950,1943.9800000000002,3893.9800000000005
3858,9378,17.77,3.5540000000000003,150,890,11,1650,1581.5300000000002,3231.53
3405,9203,23.19,4.638000000000001,150,772,12,1800,1790.2680000000003,3590.268
8910,9104,0.77,0.15400000000000003,150,4211,3,450,324.24700000000007,774.2470000000001
4798,9059,1.54,0.30800000000000005,150,2970,4,600,457.38000000000005,1057.38
3608,9019,0.72,0.144,150,4335,3,450,312.12,762.12
2120,8732,12.21,2.442,150,1036,9,1350,1264.9560000000001,2614.956
8053,8503,0.75,0.15000000000000002,150,4124,3,450,309.30000000000007,759.3000000000001
6650,8458,7.38,1.476,150,1311,7,1050,967.518,2017.518
8064,8453,0.76,0.15200000000000002,150,4085,3,450,310.46000000000004,760.46
5138,8418,11.1,2.22,150,1067,8,1200,1184.3700000000001,2384.37
6570,8274,6.77,1.354,150,1354,7,1050,916.658,1966.658
8236,8257,1.07,0.21400000000000002,150,3402,3,450,364.01400000000007,814.0140000000001
3893,8240,7.93,1.586,150,1248,7,1050,989.6640000000001,2039.6640000000002
6579,7919,5.8,1.16,150,1431,6,900,829.9799999999999,1729.98
