Store,COGS,BegInvValue,EndInvValue,AvgInvValue,TurnoverRatio,DSI
14,711060.89,594115.82,547545.54,570830.6799999999,1.2456599039140646,293.0173788632925
13,355377.15,288773.96,337788.76,313281.36,1.1343705543157756,321.7643464133808
11,791786.64,752939.78,722827.9299999999,737883.855,1.0730505006102893,340.15174476169483
17,302043.43,303649.69,260691.26,282170.475,1.0704288958651682,340.9848159087585
15,1422998.94,1098734.84,1614792.15,1356763.495,1.0488187110311364,348.01057242881717
1,975115.86,838079.59,1206845.93,1022462.76,0.9536932768094165,382.7226309292108
10,1154926.8,1350761.19,1395389.05,1373075.12,0.8411242641990337,433.94301595564326
16,248529.44,295733.06,316166.19,305949.625,0.8123214401717276,449.3295165554632
12,317726.67,470912.77,432508.38,451710.575,0.7033855029849588,518.9188552380573
58,247177.26,358492.68,368221.69,363357.185,0.6802597284542482,536.5597649435874
46,114644.87,342989.13,0.0,171494.565,0.6685043925444517,545.9949165191605
25,408561.56,611908.94,616494.49,614201.715,0.6651911742056924,548.7144360203637
72,348004.54,526637.07,548873.46,537755.2649999999,0.6471429712547772,564.0175605898703
6,458731.26,739355.88,698834.0,719094.94,0.6379286440257805,572.1643061778698
31,254388.11,405179.22,399759.01,402469.115,0.6320686495409716,577.4689193413953
18,164133.11,250850.22999999998,284557.99,267704.11,0.6131138965330043,595.3216882931177
60,841530.75,1343014.53,1406880.33,1374947.4300000002,0.61204576381513,596.36063441532
9,405376.85,713163.99,658986.97,686075.48,0.5908633405758795,617.7401353826692
75,289368.88,516446.85,509833.45,513140.15,0.5639178302457916,647.2574201828476
65,145039.86,277958.77,247155.74,262557.255,0.5524123109833701,660.7383520295731
53,282711.26,490406.93,561704.78,526055.855,0.5374168109962392,679.1748835012797
38,1237991.19,2232698.77,2463906.85,2348302.81,0.5271854995565926,692.3559170481657
68,540842.0599999999,1107238.33,948346.29,1027792.31,0.526217266599319,693.6298429711625
40,171739.16,350275.97,340739.36,345507.665,0.4970632417084003,734.3129995802938
51,285054.61,579915.72,578340.6799999999,579128.2,0.4922133130453672,741.5484106712044
62,225052.61,470473.08,452680.36,461576.72,0.487573571734727,748.6049719663328
34,1537806.51,3291170.2399999998,3074616.75,3182893.495,0.48314733509485525,755.4631340941586
