VendorName,AvgLeadTime,MedianLeadTime,StdLeadTime,OrderCount,Reliability
HIGHLAND WINE MERCHANTS LLC,5.321428571428571,6.0,2.1782352936973997,28,Moderate
LOYAL DOG WINERY           ,5.95,5.5,2.438183102661747,20,Moderate
MARTIGNETTI COMPANIES ,6.697278911564626,7.0,1.9725573075323197,294,Consistent
ALISA CARR BEVERAGES           ,6.809523809523809,7.0,2.7230032214044115,63,Moderate
Circa Wines                ,6.948497854077253,7.0,1.9776575030446555,233,Consistent
PHILLIPS PRODUCTS CO.      ,7.012447299739009,7.0,2.109132383499847,4981,Moderate
SEA HAGG DISTILLERY LLC    ,7.022823330515638,7.0,2.0382102418327905,1183,Consistent
NICHE W & S                ,7.069796954314721,7.0,2.350257810485212,788,Moderate
MOONLIGHT MEADERY          ,7.083700440528634,7.0,2.478207688113788,681,Moderate
Serralles Usa LLC          ,7.117296222664016,7.0,2.12915821409671,1509,Consistent
WEIN BAUER INC             ,7.126865671641791,7.0,2.022646010713204,402,Consistent
TRINCHERO FAMILY ESTATES   ,7.129842806047308,7.0,2.2769943584960117,33271,Moderate
MAJESTIC FINE WINES        ,7.197300416478499,7.0,2.1130747843556676,19929,Consistent
PROXIMO SPIRITS INC.       ,7.2394125811170715,7.0,2.169569859213806,53318,Consistent
VINILANDIA USA             ,7.243993828521049,7.0,2.0651267321196025,4537,Consistent
BULLY BOY DISTILLERS       ,7.2604588394062075,7.0,2.435306585947705,741,Moderate
PERFECTA WINES             ,7.268150595600383,7.0,2.3059371133974684,34503,Moderate
TREASURY WINE ESTATES      ,7.301543799658051,7.0,2.2225988887083292,39772,Moderate
EDRINGTON AMERICAS         ,7.332297698065245,7.0,2.2076236526159394,7081,Moderate
TAKARA SAKE USA INC        ,7.345997286295794,7.0,2.2938868108691803,737,Moderate
CAMPARI AMERICA            ,7.347739501083083,7.0,2.0462998718926055,28622,Consistent
SEA BREEZE CELLARS LLC     ,7.353637901861252,7.0,2.172669091354483,591,Consistent
HEAVEN HILL DISTILLERIES   ,7.381066506890353,7.0,2.314347175479838,31711,Moderate
AMERICAN VINTAGE BEVERAGE  ,7.385036496350365,7.0,2.0616944103483132,2192,Consistent
FORTUNE WINE BROKERS LLC   ,7.385572139303482,7.0,2.041487599026126,402,Consistent
PINE STATE TRADING CO      ,7.3902113459399335,7.0,2.1037058018195283,26970,Consistent
CHARLES JACQUIN ET CIE INC ,7.401121414707785,7.0,2.382615811178197,4637,Moderate
DIAGEO CHATEAU ESTATE WINES,7.4202816445451605,7.0,2.163425746526711,12356,Consistent
MOET HENNESSY USA INC      ,7.431354549163607,7.0,2.117798473937425,29412,Consistent
APPOLO VINEYARDS LLC       ,7.444444444444445,7.0,2.148110584901839,18,Consistent
"PREMIUM PORT WINES, INC.   ",7.460982658959537,7.0,2.1015969848710228,692,Consistent
PALM BAY INTERNATIONAL INC ,7.470642967145791,7.0,2.312394105749024,31168,Moderate
STELLAR IMPORTING CO LLC   ,7.471111111111111,8.0,2.240119398745281,225,Consistent
BANFI PRODUCTS CORP        ,7.472522330923011,8.0,2.136338824167145,23510,Consistent
CASTLE BRANDS CORP.        ,7.473535939900973,7.0,2.27676687216682,11714,Moderate
VINEYARD BRANDS INC        ,7.47680690399137,7.0,2.3200777553443315,12051,Moderate
SAZERAC NORTH AMERICA INC. ,7.5065064143858935,7.0,2.229070396210696,54331,Consistent
JIM BEAM BRANDS COMPANY    ,7.512969362383581,7.0,2.3961970164295745,189832,Moderate
SOUTHERN WINE & SPIRITS NE ,7.528990358864489,8.0,2.261760388105434,29872,Moderate
SAZERAC CO INC             ,7.5330224487582695,8.0,2.1705821160176355,92210,Consistent
DUGGANS DISTILLED PRODUCTS ,7.539695268644747,7.0,2.210761851681267,1247,Consistent
SMOKY QUARTZ DISTILLERY LLC,7.547101449275362,8.0,2.4778199224020376,276,Moderate
BROWN-FORMAN CORP          ,7.547417051658967,8.0,2.2234607165759055,59525,Consistent
CANDIA VINEYARDS           ,7.548672566371682,8.0,2.3361550574203576,226,Moderate
