Brand,AvgDailyDemand,StdDailyDemand,TotalDemand,AvgLeadTime,StdLeadTime,SafetyStock,ReorderPoint
8111,475.73333333333335,398.16549096084447,28544,7.619962802231866,2.1806815231923773,2494,6119
1892,385.35,314.3515157013383,23121,7.678691275167785,2.159198721147734,1988,4947
4261,337.1,344.35174665409903,20226,7.343519338647771,2.2085170792190403,1970,4445
3606,320.0,259.7219504112499,19200,7.69620253164557,2.1526129722078275,1645,4108
5111,306.85,289.26580498255134,18411,7.5495207667731625,2.125983736498526,1697,4013
3837,234.28333333333333,190.1396535526121,14057,7.455844155844156,2.135743856610837,1190,2937
4135,207.95,165.62060227612113,12477,7.694620253164557,2.124793021026355,1052,2652
4157,201.7,152.9344935651663,12102,7.652615144418423,2.2479875964519263,1023,2567
3545,198.05,227.12293579931924,11883,7.364685425229212,2.2013172744800533,1246,2704
8068,186.48333333333332,173.46747769887307,11189,7.385106672102188,2.1932526348583097,1030,2407
5491,183.78333333333333,147.5151347209886,11027,7.771241830065359,2.158848704490061,943,2371
3609,172.58333333333334,140.30358025641527,10355,7.715604801477378,2.134655140358247,885,2216
4227,170.15,164.60140092490306,10209,7.581945190757657,2.0807299895631433,949,2239
1233,159.63333333333333,152.71120042244206,9578,7.442588092345079,2.224533442146482,903,2091
3858,156.3,167.64766321977427,9378,7.62077660110943,2.16807327880354,946,2138
3405,153.38333333333333,170.7557569485534,9203,7.557792806640024,2.158114654770815,948,2107
8910,151.73333333333332,124.95244745219588,9104,7.722371967654986,2.2682538798983476,807,1978
4798,150.98333333333332,131.4514141946952,9059,7.679162072767365,2.143740866841651,804,1963
3608,150.31666666666666,117.65253232116136,9019,7.7271825396825395,2.1686525359450903,762,1923
2120,145.53333333333333,115.9126595017488,8732,7.429733246584255,2.4082528770970617,779,1860
8053,141.71666666666667,114.0150289924894,8503,7.7820247933884295,2.1798663259408833,732,1834
6650,206.29268292682926,183.7146216149437,8458,7.7772241992882565,1.985214430490197,1082,2687
