VendorName,Total_Quantity,Total_Spent,Num_Orders,Avg_LeadTime,Std_LeadTime,Min_LeadTime,Max_LeadTime,Avg_Cost_Per_Unit,LeadTime_CV,DeliveryScore
DIAGEO NORTH AMERICA INC   ,5459788,50959796.85,243326,7.5496494414900175,2.1911787929352227,3.0,14.0,9.333658532162788,0.2902358327915642,35.5
MARTIGNETTI COMPANIES,2637275,27821473.91,176487,7.787944721140934,2.1716260074588334,3.0,14.0,10.549326069522518,0.2788445585089734,36.0
JIM BEAM BRANDS COMPANY    ,2737165,24203151.05,189832,7.512969362383581,2.3961970164295745,3.0,14.0,8.842415802481765,0.3189414066330429,32.2
PERNOD RICARD USA          ,1647558,24124091.56,107612,7.560950451622496,2.175478339533244,3.0,14.0,14.642332203175851,0.2877255119515313,35.8
BACARDI USA INC            ,1427075,17624378.72,91846,7.700302680574004,2.210197961611465,3.0,14.0,12.350001730813025,0.28702741350508965,35.4
CONSTELLATION BRANDS INC   ,2325892,15573917.9,185574,7.735625680321597,2.090826334283515,3.0,14.0,6.695890393878994,0.2702853551461647,37.3
BROWN-FORMAN CORP          ,1006122,13529433.08,59525,7.547417051658967,2.2234607165759055,3.0,14.0,13.447109873355318,0.29459889407955475,35.0
ULTRA BEVERAGE COMPANY LLP ,1077527,13210613.93,84034,8.410476711807126,2.033623732176355,3.0,14.0,12.260123347257192,0.2417964881017307,38.1
E & J GALLO WINERY         ,1858260,12289608.09,162567,7.619707566726334,2.2762184884147203,3.0,14.0,6.61350300280908,0.2987278013600534,34.2
M S WALKER INC             ,1372841,10935817.3,112792,7.905498616923186,2.076089180676074,3.0,14.0,7.965829473333038,0.26261331274308497,37.6
SAZERAC CO INC             ,1417727,9916770.26,92210,7.5330224487582695,2.1705821160176355,3.0,14.0,6.994837694422127,0.28814226039847135,35.9
MOET HENNESSY USA INC      ,427867,9472995.2,29412,7.431354549163607,2.117798473937425,3.0,14.0,22.140046322805915,0.28498148755071595,36.6
PROXIMO SPIRITS INC.       ,682042,7588029.9,53318,7.2394125811170715,2.169569859213806,3.0,14.0,11.125458402854957,0.29968866049612997,35.6
WILLIAM GRANT & SONS INC   ,302685,5960744.35,28532,7.917531193046404,2.163669928153999,3.0,14.0,19.692896410459717,0.27327583250372905,36.2
PERFECTA WINES             ,553116,5665501.53,34503,7.268150595600383,2.3059371133974684,3.0,14.0,10.242881294339705,0.31726600640241515,33.3
WINE GROUP INC             ,888385,5258636.79,106106,7.633489152357077,2.1479505853555945,3.0,14.0,5.919321904354531,0.28138516247086665,36.3
CAMPARI AMERICA            ,501284,4141720.71,28622,7.347739501083083,2.0462998718926055,3.0,14.0,8.262224028694312,0.27849379684608766,37.8
SOUTHERN WINE & SPIRITS NE ,402677,3699813.46,29872,7.528990358864489,2.261760388105434,3.0,14.0,9.188042674401567,0.3004068647056349,34.4
"STOLI GROUP,(USA) LLC      ",314035,3666478.72,21927,7.865736306836321,2.1389599081359316,3.0,14.0,11.675382425525818,0.2719338437873775,36.6
SAZERAC NORTH AMERICA INC. ,503931,3537977.55,54331,7.5065064143858935,2.229070396210696,3.0,14.0,7.020757901379355,0.2969517739888664,34.9
MAJESTIC FINE WINES        ,446119,3506668.63,19929,7.197300416478499,2.1130747843556676,3.0,14.0,7.860388438959111,0.29359268921409765,36.5
REMY COINTREAU USA INC     ,142363,3354958.2800000003,12666,7.582899099952629,2.241472077502688,3.0,14.0,23.56622352718052,0.2955956617590614,34.8
PINE STATE TRADING CO      ,424427,3129071.59,26970,7.3902113459399335,2.1037058018195283,3.0,14.0,7.372461200630497,0.2846611149998127,36.8
STE MICHELLE WINE ESTATES  ,419822,3086650.7,28223,7.58168869361868,2.2405908168269946,3.0,14.0,7.35228430144204,0.2955266177985974,34.8
TREASURY WINE ESTATES      ,497770,2978686.4,39772,7.301543799658051,2.2225988887083292,3.0,14.0,5.984061715250015,0.30440122660257396,34.8
HEAVEN HILL DISTILLERIES   ,352348,2816661.94,31711,7.381066506890353,2.314347175479838,3.0,14.0,7.99397737464098,0.31355186588812806,33.4
PALM BAY INTERNATIONAL INC ,375697,2693984.33,31168,7.470642967145791,2.312394105749024,3.0,14.0,7.170630401626843,0.30953080155462037,33.5
TRINCHERO FAMILY ESTATES   ,352526,2252211.31,33271,7.129842806047308,2.2769943584960117,3.0,14.0,6.388780714046623,0.3193610883769747,33.6
LUXCO INC                  ,283260,2051436.01,26420,7.64560938682816,2.1634525461859533,3.0,14.0,7.2422368495375276,0.28296665925846864,36.1
MHW LTD                    ,215201,1888333.01,13923,7.617036558213028,2.2986357691267094,3.0,14.0,8.774740870163242,0.30177559889064964,33.9
EDRINGTON AMERICAS         ,62542,1882832.84,7081,7.332297698065245,2.2076236526159394,3.0,14.0,30.105094816283458,0.3010821087090421,35.1
KOBRAND CORPORATION        ,161002,1808146.33,11748,7.620956758597208,2.25966366704085,3.0,14.0,11.230583036235576,0.29650655929673414,34.5
SIDNEY FRANK IMPORTING CO  ,186464,1715908.8800000001,8804,7.781235801908224,2.205985170630228,3.0,14.0,9.202360133859619,0.2835006195403107,35.5
CASTLE BRANDS CORP.        ,105220,1679383.91,11714,7.473535939900973,2.27676687216682,3.0,14.0,15.96069102832161,0.30464386476168975,34.1
BANFI PRODUCTS CORP        ,228103,1628866.68,23510,7.472522330923011,2.136338824167145,3.0,14.0,7.140926160550277,0.2858925981828766,36.4
DELICATO VINEYARDS INC     ,192642,1561444.6300000001,28000,7.678642857142857,2.145418967167645,3.0,14.0,8.105421611071314,0.2794008012980998,36.4
STATE WINE & SPIRITS   ,154092,1529682.04,11406,7.754164474837805,2.2500168480531557,3.0,14.0,9.927069802455676,0.290168831903739,34.8
DIAGEO CHATEAU ESTATE WINES,187841,1365472.83,12356,7.4202816445451605,2.163425746526711,3.0,14.0,7.2693013239921,0.29155574547727586,35.9
VINEYARD BRANDS INC        ,171919,1196162.81,12051,7.47680690399137,2.3200777553443315,3.0,14.0,6.957711538573398,0.31030328656820017,33.4
DISARONNO INTERNATIONAL LLC,103095,1141947.85,6842,7.738672902660041,2.0923967421555787,3.0,14.0,11.076655996896069,0.2703818559686573,37.2
FREDERICK WILDMAN & SONS   ,70932,759449.24,5918,8.121324771882392,2.169545412423361,3.0,14.0,10.706722494783737,0.26714181163333717,36.2
SHAW ROSS INT L IMP LTD    ,69127,624979.64,8390,7.8396901072705605,2.081466994912338,3.0,14.0,9.041035196088359,0.26550373374860536,37.5
VINILANDIA USA             ,59428,548855.37,4537,7.243993828521049,2.0651267321196025,3.0,13.0,9.235635895537458,0.2850812384721791,37.4
PHILLIPS PRODUCTS CO.      ,40054,430945.89,4981,7.012447299739009,2.109132383499847,3.0,13.0,10.759122434713138,0.300769801660876,36.3
